iter	Passed	Remaining
0	131	131319
1	133	66468
2	134	44823
3	136	33948
4	137	27442
5	139	23085
6	140	19983
7	142	17643
8	143	15836
9	145	14381
10	146	13203
11	148	12212
12	149	11374
13	151	10642
14	152	10000
15	153	9436
16	154	8934
17	155	8492
18	156	8081
19	157	7712
20	158	7378
21	159	7074
22	159	6793
23	160	6537
24	161	6299
25	162	6071
26	162	5861
27	163	5667
28	163	5485
29	164	5315
30	164	5155
31	165	5005
32	165	4864
33	166	4731
34	167	4604
35	167	4485
36	167	4372
37	168	4264
38	168	4162
39	169	4065
40	169	3973
41	170	3886
42	170	3803
43	171	3723
44	171	3646
45	172	3573
46	172	3503
47	173	3436
48	173	3372
49	174	3310
50	174	3251
51	175	3193
52	175	3138
53	176	3085
54	176	3034
55	177	2985
56	177	2937
57	178	2891
58	178	2847
59	178	2804
60	179	2762
61	179	2722
62	180	2683
63	180	2645
64	181	2608
65	181	2573
66	182	2538
67	182	2502
68	183	2469
69	183	2437
70	184	2407
71	184	2377
72	184	2348
73	185	2320
74	185	2293
75	186	2266
76	186	2240
77	187	2214
78	187	2189
79	188	2165
80	188	2141
81	189	2118
82	189	2096
83	190	2074
84	190	2051
85	191	2030
86	191	2008
87	191	1988
88	192	1968
89	192	1949
90	193	1930
91	193	1912
92	194	1894
93	194	1876
94	195	1859
95	195	1842
96	196	1825
97	196	1809
98	197	1793
99	197	1777
100	198	1762
101	198	1746
102	198	1731
103	199	1716
104	199	1702
105	200	1688
106	200	1674
107	201	1661
108	201	1648
109	202	1635
110	202	1622
111	203	1609
112	203	1597
113	203	1585
114	204	1573
115	204	1560
116	205	1549
117	205	1538
118	206	1526
119	206	1515
120	207	1504
121	207	1493
122	207	1481
123	208	1471
124	208	1461
125	209	1451
126	209	1441
127	210	1430
128	210	1421
129	210	1412
130	211	1402
131	211	1393
132	212	1384
133	212	1376
134	213	1367
135	214	1359
136	214	1351
137	215	1343
138	215	1334
139	215	1326
140	216	1318
141	216	1310
142	217	1302
143	217	1295
144	218	1287
145	218	1279
146	219	1272
147	219	1265
148	220	1257
149	220	1250
150	221	1243
151	221	1236
152	222	1229
153	222	1222
154	223	1215
155	223	1209
156	223	1202
157	224	1196
158	224	1189
159	225	1183
160	225	1176
161	226	1171
162	226	1165
163	227	1159
164	227	1153
165	228	1147
166	228	1141
167	229	1135
168	229	1130
169	230	1124
170	230	1118
171	231	1113
172	231	1107
173	232	1102
174	232	1096
175	233	1091
176	233	1086
177	234	1081
178	234	1075
179	235	1070
180	235	1064
181	235	1059
182	236	1054
183	236	1049
184	237	1044
185	237	1040
186	238	1035
187	238	1030
188	239	1026
189	239	1021
190	240	1017
191	240	1012
192	241	1008
193	241	1004
194	242	999
195	242	995
196	243	991
197	243	986
198	244	982
199	244	978
200	245	974
201	245	970
202	246	966
203	246	962
204	247	958
205	247	954
206	248	950
207	248	946
208	249	942
209	249	938
210	249	934
211	250	930
212	250	927
213	251	923
214	251	919
215	252	916
216	252	912
217	253	908
218	253	905
219	254	901
220	254	898
221	255	894
222	255	890
223	256	887
224	256	884
225	257	880
226	257	877
227	258	873
228	258	870
229	259	867
230	259	863
231	260	860
232	260	857
233	260	854
234	261	851
235	261	847
236	262	844
237	262	841
238	263	838
239	263	835
240	264	832
241	264	829
242	265	826
243	265	823
244	266	820
245	266	817
246	267	814
247	267	811
248	268	808
249	268	805
250	269	803
251	269	800
252	270	797
253	270	794
254	270	791
255	271	788
256	271	786
257	272	783
258	272	780
259	273	778
260	273	775
261	274	772
262	274	770
263	275	767
264	275	764
265	276	762
266	276	759
267	277	757
268	277	754
269	278	752
270	278	749
271	279	747
272	279	744
273	280	742
274	280	739
275	280	737
276	281	734
277	281	732
278	282	729
279	283	727
280	283	725
281	284	723
282	284	720
283	284	718
284	285	716
285	285	713
286	286	711
287	287	709
288	287	707
289	288	705
290	288	703
291	289	700
292	289	698
293	290	696
294	290	694
295	291	692
296	291	690
297	292	688
298	292	685
299	293	683
300	293	681
301	294	679
302	294	677
303	294	675
304	295	673
305	295	671
306	296	669
307	297	667
308	297	665
309	298	663
310	298	661
311	299	659
312	299	657
313	299	655
314	300	653
315	300	651
316	301	649
317	301	647
318	302	645
319	302	643
320	303	641
321	303	639
322	304	637
323	304	636
324	305	634
325	305	632
326	306	630
327	306	628
328	307	626
329	307	624
330	308	623
331	308	621
332	309	619
333	309	617
334	310	615
335	310	613
336	311	612
337	311	610
338	312	608
339	312	607
340	313	605
341	313	603
342	314	601
343	314	600
344	315	598
345	315	596
346	316	595
347	316	593
348	317	591
349	317	589
350	318	588
351	318	586
352	318	584
353	319	583
354	319	581
355	320	579
356	320	578
357	321	576
358	321	574
359	322	573
360	322	571
361	323	570
362	323	568
363	324	566
364	324	565
365	325	563
366	325	561
367	326	560
368	326	558
369	327	557
370	327	555
371	328	554
372	328	552
373	329	551
374	329	549
375	330	548
376	330	546
377	331	545
378	331	543
379	332	541
380	332	540
381	333	539
382	333	537
383	334	536
384	334	534
385	335	533
386	335	531
387	336	530
388	336	528
389	337	527
390	337	525
391	337	524
392	338	522
393	338	521
394	339	519
395	339	518
396	340	517
397	340	515
398	341	514
399	341	512
400	342	511
401	342	510
402	343	508
403	343	507
404	344	505
405	344	504
406	345	503
407	345	501
408	346	500
409	346	499
410	347	497
411	347	496
412	348	494
413	348	493
414	349	492
415	349	490
416	350	489
417	350	488
418	351	486
419	351	485
420	352	484
421	352	482
422	353	481
423	353	480
424	354	479
425	354	477
